ул. Придорожная, д. 2, Екатеринбург
ул. Придорожная, д. 3, Екатеринбург
ул. Рубиновая, д. 7, Екатеринбург
ул. Аптекарская, д. 64, Екатеринбург
ул. Колхозников, д. 62, Екатеринбург
ул. Колхозников, д. 62А, Екатеринбург
ул. Колхозников, д. 62В, Екатеринбург
ул. Колхозников, д. 62Б, Екатеринбург
п. Садовый, ул. Мусы Джалиля, д. 8, Екатеринбург
ул. Антона Валека, д. 12, Екатеринбург
ул. Белореченская, д. 7, Екатеринбург
ул. Волгоградская, д. 184, Екатеринбург
ул. Крауля, д. 6, Екатеринбург
ул. Волгоградская, д. 200, Екатеринбург
ул. Гурзуфская, д. 17, Екатеринбург
ул. Гурзуфская, д. 18, Екатеринбург
ул. Гурзуфская, д. 47, Екатеринбург
ул. Заводская, д. 43/2, Екатеринбург
ул. Заводская, д. 19/4, Екатеринбург
ул. Заводская, д. 45А, Екатеринбург
ул. Крауля, д. 13, Екатеринбург
ул. Крауля, д. 53, Екатеринбург
ул. Крауля, д. 80/2, Екатеринбург
ул. Ленинградская, д. 30, Екатеринбург
ул. Баумана, д. 9, Екатеринбург
ул. Мельникова, д. 48, Екатеринбург
ул. Металлургов, д. 6, Екатеринбург
ул. Московская, д. 48А, Екатеринбург
ул. Московская, д. 78, Екатеринбург
ул. Нагорная, д. 14, Екатеринбург
ул. Нагорная, д. 53, Екатеринбург
ул. Папанина, д. 3, Екатеринбург
ул. Посадская, д. 40/2, Екатеринбург
ул. Татищева, д. 125/3, Екатеринбург
ул. Токарей, д. 48, Екатеринбург
ул. Токарей, д. 50/3, Екатеринбург
ул. Хомякова, д. 12, Екатеринбург
ул. Хомякова, д. 13, Екатеринбург
ул. Хомякова, д. 8, Екатеринбург
ул. Черепанова, д. 4А, Екатеринбург
ул. Шаумяна, д. 84, Екатеринбург
ул. Шаумяна, д. 86/4, Екатеринбург
ул. Шейнкмана, д. 2, Екатеринбург
ул. Токарей, д. 44/2, Екатеринбург
ул. Ленинградская, д. 32, Екатеринбург
ул. Викулова, д. 28, Екатеринбург
ул. Волгоградская, д. 198, Екатеринбург
ул. Заводская, д. 12, Екатеринбург
ул. Заводская, д. 15А/1, Екатеринбург
ул. Крауля, д. 65, Екатеринбург
ул. Мельникова, д. 40, Екатеринбург
ул. Металлургов, д. 40/3, Екатеринбург
ул. Металлургов, д. 44А, Екатеринбург
ул. Московская, д. 2, Екатеринбург
пер. Северный, д. 3, Екатеринбург
ул. Татищева, д. 125/2, Екатеринбург
ул. Татищева, д. 70, Екатеринбург
ул. Татищева, д. 77, Екатеринбург
ул. Токарей, д. 46, Екатеринбург
ул. Пальмиро Тольятти, д. 24, Екатеринбург
пер. Химиков, д. 4, Екатеринбург
ул. Чердынская, д. 2, Екатеринбург
ул. Чердынская, д. 4, Екатеринбург
ул. Ясная, д. 28, Екатеринбург
ул. Ясная, д. 30, Екатеринбург
ул. Металлургов, д. 18А, Екатеринбург
ул. Белореченская, д. 16, Екатеринбург
ул. Шаумяна, д. 102, Екатеринбург
ул. Шаумяна, д. 104, Екатеринбург
ул. Белореченская, д. 30, Екатеринбург
ул. Белореченская, д. 18, Екатеринбург
ул. Гурзуфская, д. 20, Екатеринбург
ул. Крауля, д. 84, Екатеринбург
ул. Автомагистральная, д. 5, Екатеринбург
ул. Братьев Быковых, д. 5/29, Екатеринбург
ул. Бебеля, д. 123, Екатеринбург
ул. Бебеля, д. 148, Екатеринбург
ул. Бебеля, д. 156, Екатеринбург
ул. Бебеля, д. 158, Екатеринбург
ул. Билимбаевская, д. 17, Екатеринбург
пер. Выездной, д. 2, Екатеринбург
ул. Гражданская, д. 2, Екатеринбург
ул. Гражданская, д. 2А, Екатеринбург
ул. Еремина, д. 6, Екатеринбург
ул. Испанских Рабочих, д. 31, Екатеринбург
ул. Кишиневская, д. 54, Екатеринбург
пер. Красный, д. 10, Екатеринбург
пер. Красный, д. 6, Екатеринбург
ул. Крупской, д. 6, Екатеринбург
ул. Кунарская, д. 4, Екатеринбург
ул. Лесная, д. 38, Екатеринбург
ул. Луначарского, д. 34, Екатеринбург
ул. Мельковская, д. 14, Екатеринбург
ул. Мельковская, д. 3, Екатеринбург
ул. Расточная, д. 29, Екатеринбург
ул. Расточная, д. 39, Екатеринбург
ул. Расточная, д. 47, Екатеринбург
ул. Свердлова, д. 4, Екатеринбург
пр-кт. Седова, д. 31, Екатеринбург
пр-кт. Седова, д. 33, Екатеринбург
пр-кт. Седова, д. 37, Екатеринбург
ул. Стрелочников, д. 2, к. Г, Екатеринбург
ул. Стрелочников, д. 8, Екатеринбург
ул. Стрелочников, д. 9, Екатеринбург
ул. Стрелочников, д. 4, Екатеринбург
ул. Таватуйская, д. 1Б, Екатеринбург
ул. Техническая, д. 40, Екатеринбург
ул. Техническая, д. 43, Екатеринбург
ул. Техническая, д. 46, Екатеринбург
ул. Челюскинцев, д. 64, Екатеринбург
ул. Челюскинцев, д. 70, Екатеринбург
ул. Челюскинцев, д. 88, Екатеринбург
ул. Челюскинцев, д. 92, Екатеринбург
ул. Челюскинцев, д. 19, Екатеринбург
ул. Челюскинцев, д. 29, Екатеринбург
ул. Челюскинцев, д. 33, Екатеринбург
ул. Челюскинцев, д. 60, Екатеринбург
ул. Челюскинцев, д. 62, Екатеринбург
ул. Челюскинцев, д. 64А, Екатеринбург
ул. Минометчиков, д. 28, Екатеринбург
ул. Надеждинская, д. 17, Екатеринбург
ул. Надеждинская, д. 19, Екатеринбург
ул. Ангарская, д. 26, Екатеринбург
пр-кт. Седова, д. 17, Екатеринбург
ул. Надеждинская, д. 20, Екатеринбург
ул. Азина, д. 26, Екатеринбург
ул. Луначарского, д. 15, Екатеринбург
ул. Софьи Перовской, д. 113, Екатеринбург
ул. Софьи Перовской, д. 113 подъезды 8, 9, 10, Екатеринбург
ул. Бетонщиков, д. 1, Екатеринбург
ул. Новгородцевой, д. 3, Екатеринбург
ул. Панельная, д. 9, Екатеринбург
ул. Панельная, д. 13, Екатеринбург
ул. Панельная, д. 15, Екатеринбург
ул. Рассветная, д. 13, Екатеринбург
б-р. Сиреневый, д. 11, Екатеринбург
б-р. Сиреневый, д. 19, Екатеринбург
б-р. Сиреневый, д. 21, Екатеринбург
б-р. Сиреневый, д. 23, Екатеринбург
ул. 40-летия Комсомола, д. 14А, Екатеринбург
ул. 40-летия Комсомола, д. 14Б, Екатеринбург
ул. 40-летия Комсомола, д. 20А, Екатеринбург
ул. 40-летия Комсомола, д. 22, Екатеринбург
ул. 40-летия Комсомола, д. 26, Екатеринбург
ул. Сыромолотова, д. 14, Екатеринбург
ул. Сыромолотова, д. 23, Екатеринбург
ул. Сыромолотова, д. 25, Екатеринбург
ул. Сыромолотова, д. 28, Екатеринбург
ул. Менделеева, д. 17, Екатеринбург
ул. Советская, д. 3, Екатеринбург
ул. Уральская, д. 74, Екатеринбург
ул. Раевского, д. 12, Екатеринбург
пер. Парковый, д. 39, Екатеринбург
ул. Сахалинская, д. 3, Екатеринбург
ул. Мурзинская, д. 32, Екатеринбург
ул. Боровая, д. 22, Екатеринбург
ул. Сулимова, д. 25, Екатеринбург
ул. Сулимова, д. 23, Екатеринбург
ул. Сулимова, д. 49, Екатеринбург
ул. Академическая, д. 15, Екатеринбург
ул. Академическая, д. 9, Екатеринбург
ул. Ирбитская, д. 66, Екатеринбург
ул. Камчатская, д. 49, Екатеринбург
ул. Ирбитская, д. 2, Екатеринбург
ул. Академическая, д. 23, Екатеринбург
ул. Академическая, д. 23Б, Екатеринбург
ул. Кондукторская, д. 6, Екатеринбург
ул. Первомайская, д. 76, Екатеринбург
пер. Отдельный, д. 4, Екатеринбург
пер. Отдельный, д. 6, Екатеринбург
пер. Отдельный, д. 8, Екатеринбург
ул. Восточная, д. 54, Екатеринбург
пр-кт. Ленина, д. 99, Екатеринбург
ул. Малышева, д. 128, Екатеринбург
ул. Малышева, д. 109А, Екатеринбург
пер. Курьинский, д. 5, Екатеринбург
пер. Курьинский, д. 7, Екатеринбург
ул. Педагогическая, д. 20, Екатеринбург
