ул. Аустрина, д. 150, Пенза
ул. Бакунина, д. 132, Пенза
ул. Бакунина, д. 132А, Пенза
ул. Беляева, д. 31, Пенза
ул. Беляева, д. 33, Пенза
ул. Беляева, д. 37, Пенза
ул. Беляева, д. 4, Пенза
ул. Беляева, д. 6, Пенза
ул. Богданова, д. 50А, Пенза
ул. Богданова, д. 63А, Пенза
ул. Бурмистрова, д. 3А, Пенза
ул. Бурмистрова, д. 5А, Пенза
ул. Володарского, д. 67, Пенза
ул. Володарского, д. 70, Пенза
ул. Володарского, д. 71, Пенза
ул. Володарского, д. 72, Пенза
ул. Володарского, д. 73, Пенза
ул. Володарского, д. 75, Пенза
ул. Воровского, д. 17, Пенза
ул. Воровского, д. 36, Пенза
ул. Вяземского, д. 49, Пенза
ул. Герцена, д. 44А, Пенза
ул. Герцена, д. 44Б, Пенза
ул. Дружбы, д. 7, Пенза
ул. Дружбы, д. 8, Пенза
ул. Дружбы, д. 9, Пенза
ул. Егорова, д. 4А, Пенза
ул. Егорова, д. 4Б, Пенза
ул. Ерик, д. 13, Пенза
ул. Ерик, д. 15, Пенза
ул. Ерик, д. 17, Пенза
ул. Захарова, д. 1, Пенза
ул. Карла Маркса, д. 12, Пенза
ул. Карла Маркса, д. 6, Пенза
ул. Калинина, д. 103, Пенза
ул. Карпинского, д. 33а, Пенза
ул. Кирова, д. 6-8, Пенза
ул. Клары Цеткин, д. 11, Пенза
ул. Клары Цеткин, д. 13, Пенза
ул. Клары Цеткин, д. 27, Пенза
ул. Ленина, д. 12, Пенза
ул. Ломоносова, д. 4 пристр., Пенза
ул. Ломоносова, д. 4А, Пенза
ул. Минская, д. 2а, Пенза
ул. Мира, д. 3, Пенза
ул. Мира, д. 8, Пенза
ул. Одесская, д. 2А, Пенза
пр-кт. Победы, д. 79, Пенза
пр-кт. Победы, д. 83, Пенза
пр-кт. Победы, д. 89, Пенза
пр-кт. Победы, д. 12, Пенза
пр-кт. Победы, д. 20, Пенза
пр-кт. Победы, д. 22, Пенза
ул. Пушкина, д. 17, Пенза
ул. Свердлова, д. 77, Пенза
ул. Советская, д. 2, Пенза
ул. Суворова, д. 140, Пенза
ул. Суворова, д. 139, Пенза
ул. Суворова, д. 144, Пенза
проезд. Театральный, д. 1/69, Пенза
ул. Терновского, д. 19, Пенза
ул. Тернопольская, д. 3, Пенза
ул. Терновского, д. 164, Пенза
ул. Ульяновская, д. 13А, Пенза
ул. Ульяновская, д. 13Б, Пенза
ул. Ульяновская, д. 32, Пенза
ул. Ульяновская, д. 13, Пенза
ул. Ульяновская, д. 58, Пенза
ул. Урицкого, д. 14, Пенза
ул. Экспериментальная, д. 19, Пенза
ул. Юбилейная, д. 10, Пенза
ул. Юбилейная, д. 15, Пенза
ул. Юбилейная, д. 17, Пенза
ул. Беляева, д. 15, Пенза
ул. Ленина, д. 14, Пенза
ул. Ленина, д. 16, Пенза
ул. Мира, д. 7, Пенза
ул. Свердлова, д. 19/46, Пенза
ул. Славы, д. 5, Пенза
ул. Ульяновская, д. 20, Пенза
ул. 9 Января, д. 11удалить, Пенза
ул. 9 Января, д. 12/16, Пенза
ул. Победы, д. 2б, Пенза
ул. Победы, д. 2В, Пенза
ул. Гладкова, д. 12Д, Пенза
ул. Гладкова, д. 12к, Пенза
ул. Гладкова, д. 12л, Пенза
ул. Урицкого, д. 19, Пенза
проезд. Лобачевского 1-й, д. 9, Пенза
ул. Ангарская, д. 11, Пенза
ул. Бакунина, д. 27/76, Пенза
ул. Бакунина, д. 36А, Пенза
ул. Бакунина, д. 78/40, Пенза
ул. Бекешская, д. 6, Пенза
ул. Бекешская, д. 8, Пенза
ул. Беляева, д. 23, Пенза
ул. Богданова, д. 21А, Пенза
ул. Вадинская, д. 6, Пенза
ул. Вадинская, д. 7, Пенза
городок. Военный 2-й, д. 103, Пенза
городок. Военный 2-й, д. 104, Пенза
городок. Военный 2-й, д. 107, Пенза
городок. Военный 2-й, д. 149, Пенза
ул. Володарского, д. 47/45, Пенза
ул. Володарского, д. 63, Пенза
ул. Володарского, д. 65, Пенза
ул. Володарского, д. 74, Пенза
ул. Воровского, д. 25/11, Пенза
ул. Воровского, д. 34, Пенза
ул. Воровского, д. 44, Пенза
ул. Гагарина, д. 9, Пенза
ул. Герцена, д. 11, Пенза
ул. Герцена, д. 9, Пенза
ул. Гладкова, д. 13, Пенза
ул. Глазунова, д. 7, Пенза
ул. Гоголя, д. 43, Пенза
ул. Дзержинского, д. 15, Пенза
ул. Дзержинского, д. 3, Пенза
ул. Докучаева, д. 1/27, Пенза
ул. Докучаева, д. 2, Пенза
ул. ДОС, д. 1, Пенза
ул. Егорова, д. 20, Пенза
ул. Егорова, д. 22, Пенза
ул. Заводская, д. 11, Пенза
ул. Заводская, д. 13, Пенза
ул. Измайлова, д. 50, Пенза
ул. Калинина, д. 102, Пенза
ул. Калинина, д. 63/37, Пенза
ул. Карпинского, д. 10А, Пенза
ул. Карпинского, д. 22, Пенза
ул. Карпинского, д. 22а, Пенза
ул. Карпинского, д. 24а, Пенза
ул. Карпинского, д. 26, Пенза
ул. Экспериментальная, д. 19А, Пенза
ул. Карпинского, д. 30, Пенза
ул. Карпинского, д. 32, Пенза
ул. Карпинского, д. 32а, Пенза
ул. Карпинского, д. 34, Пенза
ул. Карпинского, д. 36, Пенза
ул. Карпинского, д. 38, Пенза
ул. Карпинского, д. 40, Пенза
