ул. 25 Октября, д. 5, Пермь
ул. Окулова, д. 31, Пермь
ул. Окулова, д. 33, Пермь
ул. Петропавловская, д. 46, Пермь
ул. Монастырская, д. 27, Пермь
ул. Екатерининская, д. 119, Пермь
ул. Екатерининская, д. 96, Пермь
ул. Окулова, д. 6, Пермь
ул. Ленина, д. 7А, Пермь
ул. Борчанинова, д. 3, Пермь
ул. Ленина, д. 11, Пермь
ул. Луначарского, д. 95А, Пермь
ул. Куйбышева, д. 7, Пермь
ул. Борчанинова, д. 1, Пермь
ул. Луначарского, д. 62Б, Пермь
ул. 25 Октября, д. 4, Пермь
ул. Петропавловская, д. 17, Пермь
пр-кт. Комсомольский, д. 32, Пермь
ул. Академика Королева, д. 8, Пермь
ул. Академика Королева, д. 14, Пермь
ул. Профессора Дедюкина, д. 6, Пермь
ул. Профессора Дедюкина, д. 8, Пермь
ул. Моторостроителей, д. 12, Пермь
проезд. Серебрянский, д. 19, Пермь
проезд. Серебрянский, д. 7, Пермь
ул. Уфимская, д. 16, Пермь
ул. Моторостроителей, д. 7, Пермь
ул. Солдатова, д. 45, Пермь
ул. Куйбышева, д. 103, Пермь
ул. Клары Цеткин, д. 33, Пермь
ул. Героев Хасана, д. 16, Пермь
ул. Елькина, д. 7, Пермь
ул. Краснополянская, д. 6, Пермь
ул. Косьвинская, д. 11, Пермь
ул. Бригадирская, д. 8, Пермь
ул. Серпуховская, д. 7, Пермь
ул. Коломенская, д. 17, Пермь
ул. Коломенская, д. 19, Пермь
ул. Коломенская, д. 11, Пермь
ул. Коломенская, д. 59, Пермь
ул. Коломенская, д. 7, Пермь
ул. Коломенская, д. 13, Пермь
ул. Героев Хасана, д. 95, Пермь
ул. Полазненская, д. 26, Пермь
ул. Героев Хасана, д. 97, Пермь
ул. Коломенская, д. 55А, Пермь
ул. Коломенская, д. 32, Пермь
ул. Коломенская, д. 5, Пермь
ул. Пихтовая, д. 14, Пермь
ул. Героев Хасана, д. 70, Пермь
ул. Героев Хасана, д. 72, Пермь
ул. 25 Октября, д. 45, Пермь
ул. Куйбышева, д. 86, Пермь
пр-кт. Комсомольский, д. 96, Пермь
ул. Героев Хасана, д. 28, Пермь
ул. Героев Хасана, д. 13, Пермь
ул. Балхашская, д. 201, Пермь
пр-кт. Комсомольский, д. 52, Пермь
пр-кт. Комсомольский, д. 66, Пермь
ул. Красноармейская 1-я, д. 41, Пермь
ул. Краснофлотская, д. 16, Пермь
ул. Куйбышева, д. 62, Пермь
ул. Народовольческая, д. 4, Пермь
ул. Пионерская, д. 12, Пермь
ул. Полины Осипенко, д. 48, Пермь
ул. Полины Осипенко, д. 50, Пермь
ул. Рабоче-крестьянская, д. 24, Пермь
ул. Рабоче-крестьянская, д. 28, Пермь
ул. Чкалова, д. 24, Пермь
ул. Льва Шатрова, д. 12, Пермь
ул. Льва Шатрова, д. 14, Пермь
ул. Анвара Гатауллина, д. 10, Пермь
ул. Анвара Гатауллина, д. 12, Пермь
ул. Анвара Гатауллина, д. 6, Пермь
ул. Анвара Гатауллина, д. 8, Пермь
ул. Кузбасская, д. 32, Пермь
ул. Кузбасская, д. 34, Пермь
ул. Кузбасская, д. 36, Пермь
ул. Куйбышева, д. 163, Пермь
ул. Куйбышева, д. 165, Пермь
ул. Куйбышева, д. 169/1, Пермь
ул. Куйбышева, д. 169/2, Пермь
ул. Куйбышева, д. 169/3, Пермь
ул. Анвара Гатауллина, д. 29/1, Пермь
ул. Анвара Гатауллина, д. 29/2, Пермь
ул. Анвара Гатауллина, д. 3, Пермь
ул. Анвара Гатауллина, д. 5, Пермь
ул. Куйбышева, д. 145, Пермь
ул. Лодыгина, д. 3А, Пермь
ул. Никулина, д. 10А, Пермь
ул. Никулина, д. 10Б, Пермь
ул. Никулина, д. 10В, Пермь
ул. Новосибирская, д. 24, Пермь
ул. Новосибирская, д. 26, Пермь
ул. Новосибирская, д. 4, Пермь
ул. Новосибирская, д. 6, Пермь
ул. Лукоянова, д. 18, Пермь
ул. Лукоянова, д. 17, Пермь
ул. Лукоянова, д. 19, Пермь
ул. Лукоянова, д. 20, Пермь
ул. Сергинская, д. 27, Пермь
ул. Сергинская, д. 29, Пермь
ул. Сергинская, д. 30, Пермь
ул. Сергинская, д. 32, Пермь
ул. Сергинская, д. 34, Пермь
ул. Сергинская, д. 36, Пермь
ул. Сергинская, д. 37А, Пермь
ул. Сергинская, д. 39, Пермь
ул. Сергинская, д. 45, Пермь
ул. Новосибирская, д. 14, Пермь
ул. Брестская, д. 6, Пермь
ул. Брестская, д. 8, Пермь
ул. Кузбасская, д. 37, Пермь
ул. Куйбышева, д. 157, Пермь
ул. Куйбышева, д. 143, Пермь
ул. Кузбасская, д. 24, Пермь
ул. Кузбасская, д. 26, Пермь
ул. Яблочкова, д. 21, Пермь
ул. Гусарова, д. 9, Пермь
ул. Академика Курчатова, д. 2, Пермь
пер. Еловский 3-й, д. 9/19, Пермь
ул. Бумажников, д. 2, Пермь
ул. Бушмакина, д. 14, Пермь
ул. Бушмакина, д. 23, Пермь
ул. Бушмакина, д. 9, Пермь
ул. Академика Веденеева, д. 53, Пермь
ул. Вильямса, д. 35, Пермь
ул. Вильямса, д. 41А, Пермь
