ул. Белинского, д. 35А, Томск
ул. Гагарина, д. 41, Томск
ул. Гагарина, д. 43, Томск
ул. Вершинина, д. 68, Томск
ул. Гоголя, д. 61, Томск
ул. Елизаровых, д. 12, Томск
ул. Елизаровых, д. 17, Томск
ул. Елизаровых, д. 19/1, Томск
ул. Елизаровых, д. 33, Томск
ул. Елизаровых, д. 39/1, Томск
ул. Елизаровых, д. 39/2, Томск
ул. Елизаровых, д. 39/3, Томск
ул. Елизаровых, д. 41, Томск
ул. Елизаровых, д. 43, Томск
ул. Елизаровых, д. 8, Томск
ул. Киевская, д. 86А, Томск
пр-кт. Кирова, д. 18, Томск
пр-кт. Кирова, д. 38, Томск
пр-кт. Кирова, д. 53/1, Томск
пр-кт. Кирова, д. 59, Томск
пр-кт. Кирова, д. 61А, Томск
пр-кт. Кирова, д. 64, Томск
пр-кт. Кирова, д. 66, Томск
ул. Котовского, д. 12, Томск
ул. Котовского, д. 28, Томск
ул. Красноармейская, д. 101, Томск
ул. Красноармейская, д. 103, Томск
ул. Кузнецова, д. 1, Томск
ул. Мокрушина, д. 12А, Томск
ул. Мокрушина, д. 14/1, Томск
ул. Мокрушина, д. 18А, Томск
ул. Мокрушина, д. 20/1, Томск
ул. Мокрушина, д. 22, Томск
ул. Мокрушина, д. 5, Томск
ул. Мокрушина, д. 5/1, Томск
тракт. Московский, д. 70/1, Томск
ул. Нахимова, д. 12, Томск
ул. Полины Осипенко, д. 16, Томск
ул. Полины Осипенко, д. 31, Томск
ул. Полины Осипенко, д. 31А, Томск
ул. Полины Осипенко, д. 6, Томск
ул. Полины Осипенко, д. 6А, Томск
ул. Полины Осипенко, д. 8, Томск
ул. Полины Осипенко, д. 8А, Томск
пер. Ботанический, д. 16/3, Томск
пер. Нахимова, д. 10, Томск
пер. Нахимова, д. 12, Томск
пер. Нахимова, д. 14, Томск
пер. Нахимова, д. 2, Томск
пер. Нахимова, д. 4, Томск
ул. Усова, д. 21/5, Томск
ул. Усова, д. 23, Томск
ул. Усова, д. 31, Томск
