Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
квартира	59:01:4410037:466	г Пермь, ул Монастырская, д. 27, 25	31.3 кв.м.	1 865 105 руб.
квартира	59:01:4410037:479	г Пермь, ул Монастырская, д. 27, 14	43.3 кв.м.	2 352 650 руб.
квартира	59:01:4410037:543	г Пермь, ул Монастырская, д. 27, 6	43.1 кв.м.	2 051 943 руб.
квартира	59:01:4410037:530	г Пермь, ул Монастырская, д. 27, 2	32.2 кв.м.	1 533 006 руб.
квартира	59:01:4410037:478	г Пермь, ул Монастырская, д. 27, 13	42.6 кв.м.	2 326 172 руб.
квартира	59:01:4410037:482	г Пермь, ул Монастырская, д. 27, 33	31.7 кв.м.	1 882 642 руб.
квартира	59:01:4410037:459	г Пермь, ул Монастырская, д. 27, 4	32 кв.м.	1 895 730 руб.
квартира	59:01:4410037:480	г Пермь, ул Монастырская, д. 27, 15	41 кв.м.	2 264 824 руб.
нежилое помещение	59:01:4410037:438	г Пермь, ул Монастырская, д. 27, Встроенное помещение	67.1 кв.м.	180 675 руб.
квартира	59:01:4410037:485	г Пермь, ул Монастырская, д. 27, 36	41.7 кв.м.	2 291 808 руб.
квартира	59:01:4410037:470	г Пермь, ул Монастырская, д. 27, 9	55.2 кв.м.	2 772 995 руб.
квартира 	59:01:4410037:639	г Пермь, ул Монастырская, д. 27, 40	42.8 кв.м.	2 375 623 руб.
квартира 	59:01:4410037:437	г Пермь, ул Монастырская, д. 27, 2	32.2 кв.м.	114 440 руб.
квартира	59:01:4410037:488	г Пермь, ул Монастырская, д. 27, 19	40.1 кв.м.	2 229 794 руб.
квартира	59:01:4410037:462	г Пермь, ул Монастырская, д. 27, 5	42.7 кв.м.	2 329 968 руб.
жилое помещение	59:01:4410037:499	г Пермь, ул Монастырская, д. 27, 37	32.1 кв.м.	1 781 717 руб.
квартира	59:01:4410037:489	г Пермь, ул Монастырская, д. 27, 20	32.6 кв.м.	1 921 740 руб.
встроенно-пристроенные помещения	59:01:4410037:493	г Пермь, ул Монастырская, д. 27, 1	63.6 кв.м.	171 251 руб.
квартира	59:01:4410037:457	г Пермь, ул Монастырская, д. 27, 1	54.7 кв.м.	2 756 353 руб.
квартира	59:01:4410037:464	г Пермь, ул Монастырская, д. 27, 7	39.9 кв.м.	2 221 958 руб.
квартира	59:01:4410037:592	г Пермь, ул Монастырская, д. 27, 39	44.8 кв.м.	2 132 878 руб.
квартира	59:01:4410037:461	г Пермь, ул Монастырская, д. 27, 24	54 кв.м.	2 732 918 руб.
нежилое помещение	59:01:4410037:456	г Пермь, ул Монастырская, д. 27, Нежилое помещение	67.9 кв.м.	182 829 руб.
квартира	59:01:4410037:542	г Пермь, ул Монастырская, д. 27, 1	54.7 кв.м.	2 604 206 руб.
квартира	59:01:4410037:491	г Пермь, ул Монастырская, д. 27, 38	40.4 кв.м.	2 241 514 руб.
квартира	59:01:4410037:465	г Пермь, ул Монастырская, д. 27, 8	31.5 кв.м.	1 873 886 руб.
квартира	59:01:4410037:467	г Пермь, ул Монастырская, д. 27, 26	40.7 кв.м.	2 253 190 руб.
квартира	59:01:4410037:477	г Пермь, ул Монастырская, д. 27, 32	43.6 кв.м.	2 363 931 руб.
квартира	59:01:4410037:483	г Пермь, ул Монастырская, д. 27, 34	40.5 кв.м.	2 245 410 руб.
квартира	59:01:4410037:468	г Пермь, ул Монастырская, д. 27, 27	44.1 кв.м.	2 382 648 руб.
квартира	59:01:4410037:481	г Пермь, ул Монастырская, д. 27, 16	32.5 кв.м.	1 917 420 руб.
нежилое помещение	59:01:4410037:492	г Пермь, ул Монастырская, д. 27, Нежилое помещение	71.3 кв.м.	191 984 руб.
квартира	59:01:4410037:471	г Пермь, ул Монастырская, д. 27, 10	30.6 кв.м.	1 834 171 руб.
квартира	59:01:4410037:458	г Пермь, ул Монастырская, д. 27, 2	32.2 кв.м.	1 904 424 руб.
